LOCAL_000001	U2
LOCAL_000002	Bastille
LOCAL_000003	Lawson
LOCAL_000004	Birds of Tokyo
LOCAL_000005	Sing um dein Leben
LOCAL_000006	Dukes of Dixieland
LOCAL_000007	Rozpor
LOCAL_000008	Bulutsuzluk Özlemi
LOCAL_000009	The Wedding Present
LOCAL_000010	O-Zone
LOCAL_000011	Jenix
LOCAL_000012	Tame Impala
LOCAL_000013	Daïtro
LOCAL_000014	Sœurs Goadec
LOCAL_000015	Tri Yann
LOCAL_000016	Nine Inch Nails
LOCAL_000017	Die Sterne
LOCAL_000018	Blumfeld
LOCAL_000019	Einstürzende Neubauten
LOCAL_000020	bagad
LOCAL_000021	Gossip
LOCAL_000022	Fine Young Cannibals
LOCAL_000023	Spandau Ballet
LOCAL_000024	El Cuarteto de Nos
LOCAL_000025	The Ingenues
LOCAL_000026	Death Cab for Cutie
LOCAL_000027	Backstreet Boys
LOCAL_000028	ABBA
LOCAL_000029	Opeth
LOCAL_000030	Lostprophets
LOCAL_000031	The Specials
LOCAL_000032	Lake of Tears
LOCAL_000033	Knife Party
LOCAL_000034	Pendulum
LOCAL_000035	Swedish House Mafia
LOCAL_000036	Pegboard Nerds
LOCAL_000037	Die Antwoord
LOCAL_000038	Lordi
LOCAL_000039	Iļģi
LOCAL_000040	Luna Sea
LOCAL_000041	Five
LOCAL_000042	My First Story
LOCAL_000043	Rammstein
LOCAL_000044	LostAlone
LOCAL_000045	Goat
LOCAL_000046	ChocoLe
LOCAL_000047	Compass Band
LOCAL_000048	The Funkids
LOCAL_000049	AC/DC
LOCAL_000050	The Tokens
LOCAL_000051	Stereophonics
LOCAL_000052	Earth, Wind & Fire
LOCAL_000053	Les Haricots Rouges
LOCAL_000054	3T
LOCAL_000055	Watarirouka Hashiritai 7
LOCAL_000056	The Pastels
LOCAL_000057	Bratmobile
LOCAL_000058	Monrose
LOCAL_000059	Sturm und Drang
LOCAL_000060	Rema
LOCAL_000061	Mars
LOCAL_000062	The Toys
LOCAL_000063	The Magnetic Fields
LOCAL_000064	Test Icicles
LOCAL_000065	Crooked Still
LOCAL_000066	Die Ärzte
LOCAL_000067	Blue
LOCAL_000068	Lyapis Trubetskoy
LOCAL_000069	Vanilla Ninja
LOCAL_000070	The Wanted
LOCAL_000071	NikitA
LOCAL_000072	Nu Virgos
LOCAL_000073	Lucero
LOCAL_000074	Budapest Symphony Orchestra
LOCAL_000075	4Minute
LOCAL_000076	Thirty Seconds to Mars
LOCAL_000077	Gipsy Kings
LOCAL_000078	Real McCoy
LOCAL_000079	Graveyard
LOCAL_000080	Illapu
LOCAL_000081	Nadau
LOCAL_000082	Koil
LOCAL_000083	Jungle Brothers
LOCAL_000084	No Doubt
LOCAL_000085	The Jackson 5
LOCAL_000086	Nightwish
LOCAL_000087	Young Guns
LOCAL_000088	Bonde do Rolê
LOCAL_000089	Radiohead
LOCAL_000090	Hollywood Undead
LOCAL_000091	Kraftwerk
LOCAL_000092	System of a Down
LOCAL_000093	Coldplay
LOCAL_000094	Skupina Ladislava Štaidla
LOCAL_000095	Shalom
LOCAL_000096	James Chance and the Contortions
LOCAL_000097	Yeti Lane
LOCAL_000098	Cubanito 20.02
LOCAL_000099	LCD Soundsystem
LOCAL_000100	Skálmöld
LOCAL_000101	Crashdïet
LOCAL_000102	Lacuna Coil
LOCAL_000103	Gogol Bordello
LOCAL_000104	Crime & the City Solution
LOCAL_000105	Noisia
LOCAL_000106	alt-J
LOCAL_000107	The Pogues
LOCAL_000108	Splean
LOCAL_000109	Pesniary
LOCAL_000110	LMFAO
LOCAL_000111	Buffalo Springfield
LOCAL_000112	Blood, Sweat & Tears
LOCAL_000113	No End in Sight
LOCAL_000114	Wet Wet Wet
LOCAL_000115	Culture Club
LOCAL_000116	Rudimental
LOCAL_000117	Da Mouth
